,r_free,ff,pdb,w_0,cif_name,N,job_id,M,cifs,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9,w_10,w_11,w_12,w_13,w_14,w_15
508,0.3101198621350152,3820.2780293539727,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/508.pdb,1.0,7mhg,1,1,5,7mhg,,,,,,,,,,,,,,,
551,0.3105425847843732,3917.045945105817,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/551.pdb,1.0,7mhg,1,1,6,7mhg,,,,,,,,,,,,,,,
600,0.2987164372736694,801.1793173434023,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/600.pdb,1.0,7mhh,1,2,1,7mhh,,,,,,,,,,,,,,,
652,0.3049868073084137,1070.2265478386396,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/652.pdb,1.0,7mhh,1,2,2,7mhh,,,,,,,,,,,,,,,
711,0.3096522280165253,946.8033232864768,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/711.pdb,1.0,7mhh,1,2,3,7mhh,,,,,,,,,,,,,,,
775,0.3174272522670269,1959.339367477613,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/775.pdb,1.0,7mhh,1,2,4,7mhh,,,,,,,,,,,,,,,
803,0.3206573160344816,6149.476429586434,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/803.pdb,1.0,7mhh,1,2,5,7mhh,,,,,,,,,,,,,,,
856,0.3183614820790104,5231.264351642049,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/856.pdb,1.0,7mhh,1,2,6,7mhh,,,,,,,,,,,,,,,
901,0.2849026385642137,1062.3240684500272,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/901.pdb,1.0,7mhi,1,3,1,7mhi,,,,,,,,,,,,,,,
952,0.2926034181321115,1504.6113015482558,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/952.pdb,1.0,7mhi,1,3,2,7mhi,,,,,,,,,,,,,,,
1004,0.3003369306834039,5104.546257914582,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/1004.pdb,1.0,7mhi,1,3,3,7mhi,,,,,,,,,,,,,,,
1062,0.3056632267038442,2262.2163817181045,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/1062.pdb,1.0,7mhi,1,3,4,7mhi,,,,,,,,,,,,,,,
1103,0.3017979495745822,1766.1660566307623,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/1103.pdb,1.0,7mhi,1,3,5,7mhi,,,,,,,,,,,,,,,
1169,0.3042141194700969,1751.3183425555085,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/1169.pdb,1.0,7mhi,1,3,6,7mhi,,,,,,,,,,,,,,,
1203,0.2994077178308268,953.6160424884512,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/1203.pdb,1.0,7mhj,1,4,1,7mhj,,,,,,,,,,,,,,,
1253,0.2963902925794891,695.673418167703,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/1253.pdb,1.0,7mhj,1,4,2,7mhj,,,,,,,,,,,,,,,
1300,0.3015682458332449,1477.1522400967326,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/1300.pdb,1.0,7mhj,1,4,3,7mhj,,,,,,,,,,,,,,,
1390,0.3065758861983266,1414.4221474975177,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/1390.pdb,1.0,7mhj,1,4,4,7mhj,,,,,,,,,,,,,,,
1405,0.306699754203074,3674.50518697898,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/1405.pdb,1.0,7mhj,1,4,5,7mhj,,,,,,,,,,,,,,,
1462,0.3078392894177797,4968.93583941442,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/1462.pdb,1.0,7mhj,1,4,6,7mhj,,,,,,,,,,,,,,,
1500,0.3102236218501403,453.20969569383806,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/1500.pdb,1.0,7mhk,1,5,1,7mhk,,,,,,,,,,,,,,,
1550,0.3180123198491365,1103.7066611190614,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/1550.pdb,1.0,7mhk,1,5,2,7mhk,,,,,,,,,,,,,,,
1616,0.3234881479194487,1629.8085237705131,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/1616.pdb,1.0,7mhk,1,5,3,7mhk,,,,,,,,,,,,,,,
1650,0.3354175025349171,3584.729267957696,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/1650.pdb,1.0,7mhk,1,5,4,7mhk,,,,,,,,,,,,,,,
1708,0.340037987865503,4022.244571303383,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/1708.pdb,1.0,7mhk,1,5,5,7mhk,,,,,,,,,,,,,,,
1762,0.3449547373665677,5402.978798328282,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/1762.pdb,1.0,7mhk,1,5,6,7mhk,,,,,,,,,,,,,,,
1800,0.2949358378046768,1628.803769346338,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/1800.pdb,0.4316279809269078,7mhf,2,0,1,7mhf,0.5683720190730922,,,,,,,,,,,,,,
1850,0.298138560421878,3119.7981745604634,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/1850.pdb,0.5106547024566274,7mhf,2,0,2,7mhf,0.4893452975433727,,,,,,,,,,,,,,
1901,0.3087360561959156,4007.615571917048,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/1901.pdb,0.5917975334673026,7mhf,2,0,3,7mhf,0.4082024665326975,,,,,,,,,,,,,,
1953,0.3140311568474906,5276.706169322976,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/1953.pdb,0.5300089683434283,7mhf,2,0,4,7mhf,0.4699910316565717,,,,,,,,,,,,,,
2006,0.3141697475802388,4086.075951441248,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/2006.pdb,0.4316895924161433,7mhf,2,0,5,7mhf,0.5683104075838566,,,,,,,,,,,,,,
2079,0.3154909436991459,6646.222647390157,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/2079.pdb,0.5028977219494101,7mhf,2,0,6,7mhf,0.4971022780505899,,,,,,,,,,,,,,
2112,0.2787200765553855,1214.887928847891,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/2112.pdb,0.4880260652750431,7mhg,2,1,1,7mhg,0.5119739347249569,,,,,,,,,,,,,,
2154,0.2788707169077771,1943.9270817091087,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/2154.pdb,0.5011921779452005,7mhg,2,1,2,7mhg,0.4988078220547994,,,,,,,,,,,,,,
2202,0.2856931214748935,3827.3473744461216,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/2202.pdb,0.418194777124082,7mhg,2,1,3,7mhg,0.581805222875918,,,,,,,,,,,,,,
2252,0.2878085812992016,5231.565627432488,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/2252.pdb,0.4784524764640659,7mhg,2,1,4,7mhg,0.5215475235359341,,,,,,,,,,,,,,
2300,0.2917930829733113,4714.275619079254,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/2300.pdb,0.5401291652343783,7mhg,2,1,5,7mhg,0.4598708347656217,,,,,,,,,,,,,,
2372,0.2914258277649829,5366.261083274178,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/2372.pdb,0.5169387791502464,7mhg,2,1,6,7mhg,0.4830612208497536,,,,,,,,,,,,,,
2401,0.2936854182198279,1965.1807319774607,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/2401.pdb,0.488417025937359,7mhh,2,2,1,7mhh,0.511582974062641,,,,,,,,,,,,,,
2455,0.3067057247912067,4459.923067062267,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/2455.pdb,0.5586024804311848,7mhh,2,2,2,7mhh,0.4413975195688152,,,,,,,,,,,,,,
2512,0.3153355281485363,4693.928437200037,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/2512.pdb,0.6457162451843788,7mhh,2,2,3,7mhh,0.3542837548156212,,,,,,,,,,,,,,
2553,0.313352869948499,4896.333350119023,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/2553.pdb,0.4290116576883945,7mhh,2,2,4,7mhh,0.5709883423116054,,,,,,,,,,,,,,
2609,0.3136091345997209,3922.847986130272,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/2609.pdb,0.7967831607979357,7mhh,2,2,5,7mhh,0.2032168392020643,,,,,,,,,,,,,,
2651,0.315195630082817,4061.859284446766,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/2651.pdb,0.5894497597567014,7mhh,2,2,6,7mhh,0.4105502402432985,,,,,,,,,,,,,,
2700,0.2713474919418908,2276.05336559017,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/2700.pdb,0.4423973436174906,7mhi,2,3,1,7mhi,0.5576026563825094,,,,,,,,,,,,,,
2764,0.283016834996564,4774.320359636629,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/2764.pdb,0.5436095801958459,7mhi,2,3,2,7mhi,0.456390419804154,,,,,,,,,,,,,,
2814,0.2935320169602922,6711.381831811164,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/2814.pdb,0.526177759577326,7mhi,2,3,3,7mhi,0.473822240422674,,,,,,,,,,,,,,
2899,0.2927893542255465,4900.545251083158,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/2899.pdb,0.6892950032174309,7mhi,2,3,4,7mhi,0.3107049967825691,,,,,,,,,,,,,,
2941,0.2948287658290042,6232.684728760627,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/2941.pdb,0.4287723081348342,7mhi,2,3,5,7mhi,0.5712276918651658,,,,,,,,,,,,,,
2972,0.2952630181797813,6479.78200320498,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/2972.pdb,0.4822264455169617,7mhi,2,3,6,7mhi,0.5177735544830383,,,,,,,,,,,,,,
3001,0.2845345396733379,2106.6975597732417,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/3001.pdb,0.5144507488866303,7mhj,2,4,1,7mhj,0.4855492511133696,,,,,,,,,,,,,,
3051,0.2933489421535131,4240.626117490569,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/3051.pdb,0.5573843871054591,7mhj,2,4,2,7mhj,0.4426156128945408,,,,,,,,,,,,,,
3103,0.3039220134353481,5245.915065737352,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/3103.pdb,0.5434595628545558,7mhj,2,4,3,7mhj,0.4565404371454442,,,,,,,,,,,,,,
3185,0.3012974609200793,4649.272982382002,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/3185.pdb,0.4852994784978013,7mhj,2,4,4,7mhj,0.5147005215021986,,,,,,,,,,,,,,
3214,0.3015829586597759,4220.288382260011,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/3214.pdb,0.5998023370069369,7mhj,2,4,5,7mhj,0.4001976629930631,,,,,,,,,,,,,,
3259,0.3010952552618096,3732.7838065395513,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/3259.pdb,0.5920470755188639,7mhj,2,4,6,7mhj,0.4079529244811361,,,,,,,,,,,,,,
3300,0.2967039798799827,1528.751131242568,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/3300.pdb,0.497868191211591,7mhk,2,5,1,7mhk,0.502131808788409,,,,,,,,,,,,,,
3352,0.2937348960276246,1795.1722959696249,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/3352.pdb,0.5495726684975992,7mhk,2,5,2,7mhk,0.4504273315024008,,,,,,,,,,,,,,
3402,0.2972359249363642,2465.6222133296687,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/3402.pdb,0.5179402809309106,7mhk,2,5,3,7mhk,0.4820597190690894,,,,,,,,,,,,,,
3494,0.3212948631775291,5526.646580241495,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/3494.pdb,0.524818912487801,7mhk,2,5,4,7mhk,0.475181087512199,,,,,,,,,,,,,,
3538,0.3311911040268115,6694.41275393475,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/3538.pdb,0.456433013337254,7mhk,2,5,5,7mhk,0.543566986662746,,,,,,,,,,,,,,
3594,0.3313969093714766,4870.741764221473,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/3594.pdb,0.7258315139726097,7mhk,2,5,6,7mhk,0.2741684860273903,,,,,,,,,,,,,,
3604,0.304512100574391,3783.1038108721104,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/3604.pdb,0.3889081268370332,7mhf,4,0,1,7mhf,0.3898377491622001,0.1195983248793999,0.1016557991213664,,,,,,,,,,,,
3675,0.3037730712123658,4740.77239403728,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/3675.pdb,0.194303707294222,7mhf,4,0,2,7mhf,0.2807280736752886,0.4486009053388929,0.0763673136915964,,,,,,,,,,,,
3729,0.3081367105889944,6481.840366949631,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/3729.pdb,0.3953304395635332,7mhf,4,0,3,7mhf,0.2235910661765003,0.347348338586833,0.0337301556731333,,,,,,,,,,,,
3770,0.3085699886615101,7012.035253289656,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/3770.pdb,0.3076897982425548,7mhf,4,0,4,7mhf,0.3339840648865472,0.2647878592398164,0.0935382776310815,,,,,,,,,,,,
3813,0.3108870073702651,7000.300534676166,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/3813.pdb,0.2381458642586001,7mhf,4,0,5,7mhf,0.2407108043010798,0.3797681110079428,0.1413752204323772,,,,,,,,,,,,
3869,0.3127144975122301,5546.763616342268,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/3869.pdb,0.2296608504762913,7mhf,4,0,6,7mhf,0.3428411415392305,0.3529338868989641,0.0745641210855139,,,,,,,,,,,,
3901,0.2855968268822521,4274.0772029662,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/3901.pdb,0.3337587264719418,7mhg,4,1,1,7mhg,0.3454177490278682,0.292933338650553,0.027890185849637,,,,,,,,,,,,
3954,0.2868742542185412,5132.163803534247,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/3954.pdb,0.2890637019813012,7mhg,4,1,2,7mhg,0.3357163333232828,0.2874144096927727,0.0878055550026432,,,,,,,,,,,,
4045,0.2910727473861404,6039.406979694672,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/4045.pdb,0.2486831593036734,7mhg,4,1,3,7mhg,0.3316169449669953,0.2142049980396616,0.2054948976896696,,,,,,,,,,,,
4097,0.2929031345592197,5131.222839783501,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/4097.pdb,0.3791874926588429,7mhg,4,1,4,7mhg,0.3575220849162145,0.0973876505276578,0.1659027718972847,,,,,,,,,,,,
4108,0.2934635724674826,7073.738729947512,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/4108.pdb,0.3384452300186723,7mhg,4,1,5,7mhg,0.3334601421633018,0.2557422871404064,0.0723523406776194,,,,,,,,,,,,
4194,0.2923051697016016,5516.787094451684,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/4194.pdb,0.2236320164595171,7mhg,4,1,6,7mhg,0.346361310438999,0.3287771544056563,0.1012295186958275,,,,,,,,,,,,
4200,0.30737066786571,4676.995375570483,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/4200.pdb,0.3631444523985284,7mhh,4,2,1,7mhh,0.2553613068523467,0.2621382090752047,0.1193560316739203,,,,,,,,,,,,
4250,0.3088613564558374,4226.880902681438,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/4250.pdb,0.2250459696019531,7mhh,4,2,2,7mhh,0.1552660880520591,0.1943254006801085,0.4253625416658792,,,,,,,,,,,,
4304,0.3052403991594834,4702.65871803021,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/4304.pdb,0.1378022913081555,7mhh,4,2,3,7mhh,0.2043375063565665,0.2256570736614958,0.4322031286737822,,,,,,,,,,,,
4355,0.3080881100562895,4341.006049993073,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/4355.pdb,0.2845286069047289,7mhh,4,2,4,7mhh,0.1005329352374096,0.2602288855547685,0.354709572303093,,,,,,,,,,,,
4424,0.3059116565588401,6449.423456425718,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/4424.pdb,0.1043834918501439,7mhh,4,2,5,7mhh,0.3223610457244532,0.1470200521119796,0.4262354103134231,,,,,,,,,,,,
4450,0.3059950717884406,5606.2791594231785,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/4450.pdb,0.2184522722423615,7mhh,4,2,6,7mhh,0.3932872363416785,0.022205332472251,0.3660551589437088,,,,,,,,,,,,
4516,0.2963409023172643,2917.983164605636,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/4516.pdb,0.3995898424622664,7mhi,4,3,1,7mhi,0.0499670047982896,0.1985498349728378,0.3518933177666061,,,,,,,,,,,,
4552,0.2857263322579899,3633.893564693877,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/4552.pdb,0.2898204164138652,7mhi,4,3,2,7mhi,0.3608696772149186,0.259775009943692,0.0895348964275241,,,,,,,,,,,,
4606,0.2907725209451284,4868.001925948413,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/4606.pdb,0.3587882851480035,7mhi,4,3,3,7mhi,0.2064989967253927,0.3483734918193926,0.0863392263072111,,,,,,,,,,,,
4665,0.2927046713120182,5551.625099046812,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/4665.pdb,0.2855232939567075,7mhi,4,3,4,7mhi,0.2963806471785055,0.3129822772625096,0.1051137816022772,,,,,,,,,,,,
4743,0.2942281886261928,5441.175499859368,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/4743.pdb,0.2589997665916528,7mhi,4,3,5,7mhi,0.2986682374818577,0.2143329336939976,0.2279990622324919,,,,,,,,,,,,
4794,0.2940432315687554,5273.063152502142,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/4794.pdb,0.3621671123169837,7mhi,4,3,6,7mhi,0.3269453736757772,0.2228842194426214,0.0880032945646178,,,,,,,,,,,,
4832,0.2961988705728875,4816.187060419665,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/4832.pdb,0.2687637581459824,7mhj,4,4,1,7mhj,0.3631059112265764,0.2177535293676023,0.1503768012598388,,,,,,,,,,,,
4850,0.2973946694174772,3123.758483062334,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/4850.pdb,0.1991451660185619,7mhj,4,4,2,7mhj,0.3865449897854399,0.2616118952137402,0.1526979489822578,,,,,,,,,,,,
4900,0.2943894475935363,5641.405323567162,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/4900.pdb,0.0382328710213297,7mhj,4,4,3,7mhj,0.287014878774691,0.3388389534029969,0.3359132968009821,,,,,,,,,,,,
4950,0.2980392010349003,5662.690108447403,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/4950.pdb,0.1641354747342832,7mhj,4,4,4,7mhj,0.2558176851787989,0.3098633452918137,0.270183494795104,,,,,,,,,,,,
5018,0.2977705861445743,5516.997057110313,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/5018.pdb,0.1462704352404419,7mhj,4,4,5,7mhj,0.362888709209469,0.3423278618864663,0.1485129936636226,,,,,,,,,,,,
5064,0.3002404650890828,6337.930788575434,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/5064.pdb,0.2648296880043787,7mhj,4,4,6,7mhj,0.2926780734169927,0.2480716629416164,0.1944205756370122,,,,,,,,,,,,
5108,0.3145805654757928,4805.544513558441,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/5108.pdb,0.2190939983662569,7mhk,4,5,1,7mhk,0.3574636413725655,0.3009410979014265,0.1225012623597509,,,,,,,,,,,,
5150,0.3349024054505838,5038.6016908134425,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/5150.pdb,0.2809401421939447,7mhk,4,5,2,7mhk,0.1303249476403502,0.2927953134227374,0.2959395967429677,,,,,,,,,,,,
5201,0.3358850254284967,5474.239019983088,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/5201.pdb,0.0651257607028156,7mhk,4,5,3,7mhk,0.1633938152384073,0.3862598893855105,0.3852205346732665,,,,,,,,,,,,
5250,0.3306100116345063,5685.223133046879,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/5250.pdb,0.2554475942173866,7mhk,4,5,4,7mhk,0.3579447564800171,0.1421469491642197,0.2444607001383766,,,,,,,,,,,,
5308,0.3341566071004069,3471.391385131995,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/5308.pdb,0.037852992742842,7mhk,4,5,5,7mhk,0.1747254674318598,0.3943244424857358,0.3930970973395624,,,,,,,,,,,,
5379,0.3353612018579084,4931.361959239347,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/5379.pdb,0.3983370493266495,7mhk,4,5,6,7mhk,0.3635179338392429,0.1690338658183425,0.0691111510157649,,,,,,,,,,,,
5411,0.3020718672629447,6589.994566827476,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/5411.pdb,0.1629440463003935,7mhf,8,0,1,7mhf,0.1636672547075697,0.0611534907588835,0.0342583960428689,0.1825332969361344,0.1976308470235666,0.0758237090257097,0.1219889592048735,,,,,,,,
5482,0.3068735047295117,5182.347824578224,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/5482.pdb,0.0503426587222596,7mhf,8,0,2,7mhf,0.1475077191826161,0.1896210629384825,0.0561151890200136,0.1707525388915821,0.1550427114425866,0.0776725079132901,0.152945611889169,,,,,,,,
5544,0.3064683981875986,6614.23060538892,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/5544.pdb,0.1573011691124494,7mhf,8,0,3,7mhf,0.1224617860765643,0.1962311578597134,0.0249939981432963,0.1175069140397525,0.2128665425594303,0.0243918651780815,0.1442465670307119,,,,,,,,
5563,0.3088946483844896,5556.218531689176,/wynton/group/sali/mhancock/xray/sample_bench/out/7mhf/181_wxray_control_ref_10000/5563.pdb,0.0800621519531889,7mhf,8,0,4,7mhf,0.269192759228069,0.0591671669501592,0.0603158315424418,0.133181254186473,0.0484324672161404,0.1028855994824493,0.2467627694410781,,,,,,,,
